catchment_poly_id,region,coverage_need_gap_rank,corisk_score,service_access_score,service_access_norm,service_deficit_score,coverage_need_gap,scd_admissions,scd_deaths
174,NA,1,0.905290015601075,0,0,4,0.905290015601075,0,0
148,NA,2,0.8939851445719211,0,0,4,0.8939851445719211,0,0
190,NA,3,0.8922218418944046,0,0,4,0.8922218418944046,0,0
92,NA,4,0.8054404221619227,0,0,4,0.8054404221619227,0,0
126,NA,5,0.774803379357127,0,0,4,0.774803379357127,0,0
78,NA,6,0.7682099605215919,0,0,4,0.7682099605215919,0,0
83,NA,7,0.7645316337526917,0,0,4,0.7645316337526917,0,0
111,NA,8,0.760990851367543,0,0,4,0.760990851367543,0,0
25,NA,9,0.7583559396452199,0,0,4,0.7583559396452199,0,0
168,NA,10,0.7418731952395101,0,0,4,0.7418731952395101,0,0
104,NA,11,0.7365575679609876,0,0,4,0.7365575679609876,0,0
90,NA,12,0.7024002580763025,0,0,4,0.7024002580763025,0,0
172,NA,13,0.6966198459290469,0,0,4,0.6966198459290469,0,0
163,NA,14,0.9335513132453273,1,0.25,3,0.6835513132453273,0,0
189,NA,15,0.9300259193195259,1,0.25,3,0.6800259193195259,0,0
170,NA,16,0.9268102498811326,1,0.25,3,0.6768102498811326,0,0
134,NA,17,0.6760233308416241,0,0,4,0.6760233308416241,0,0
94,NA,18,0.6726924418766224,0,0,4,0.6726924418766224,0,0
178,NA,19,0.9221189523545966,1,0.25,3,0.6721189523545966,0,0
130,NA,20,0.6700010954284896,0,0,4,0.6700010954284896,0,0
93,NA,21,0.6547402127253656,0,0,4,0.6547402127253656,0,0
171,NA,22,0.6499253978851742,0,0,4,0.6499253978851742,0,0
138,NA,23,0.6432830659447222,0,0,4,0.6432830659447222,0,0
164,NA,24,0.8871008412494894,1,0.25,3,0.6371008412494894,2371,11
96,NA,25,0.6340803152964822,0,0,4,0.6340803152964822,0,0
123,NA,26,0.8827195153072018,1,0.25,3,0.6327195153072018,0,0
255,NA,27,0.6291723564013438,0,0,4,0.6291723564013438,0,0
84,NA,28,0.6283672441240228,0,0,4,0.6283672441240228,0,0
191,NA,29,0.869223556389303,1,0.25,3,0.619223556389303,0,0
139,NA,30,0.612392643657976,0,0,4,0.612392643657976,0,0
97,NA,31,0.6114675877830663,0,0,4,0.6114675877830663,0,0
34,NA,32,0.6065672492252114,0,0,4,0.6065672492252114,0,0
175,NA,33,0.8514082845107305,1,0.25,3,0.6014082845107305,3698,26
105,NA,34,0.8479632113070742,1,0.25,3,0.5979632113070742,0,0
99,NA,35,0.5968050914790408,0,0,4,0.5968050914790408,0,0
60,NA,36,0.5904965570006799,0,0,4,0.5904965570006799,0,0
137,NA,37,0.5898288033759443,0,0,4,0.5898288033759443,0,0
88,NA,38,0.5860504403912019,0,0,4,0.5860504403912019,11,0
115,NA,39,0.8356135191480458,1,0.25,3,0.5856135191480458,0,0
187,NA,40,0.8331455697423206,1,0.25,3,0.5831455697423206,0,0
177,NA,41,0.8322656477797696,1,0.25,3,0.5822656477797696,1818,3
35,NA,42,0.5810942890440041,0,0,4,0.5810942890440041,0,0
146,NA,43,0.5746516103278198,0,0,4,0.5746516103278198,0,0
141,NA,44,0.5742140596979546,0,0,4,0.5742140596979546,0,0
161,NA,45,0.8190055117773846,1,0.25,3,0.5690055117773846,39,0
160,NA,46,0.8187211695590787,1,0.25,3,0.5687211695590787,0,0
162,NA,47,0.8171083148679397,1,0.25,3,0.5671083148679397,4585,74
152,NA,48,0.8157007826096898,1,0.25,3,0.5657007826096898,0,0
122,NA,49,0.5599266901375314,0,0,4,0.5599266901375314,0,0
166,NA,50,0.5575611228988664,0,0,4,0.5575611228988664,0,0
