catchment_poly_id,region,observed,expected,oe_ratio,corisk_score,service_deficit_std
174,NA,0,2.698464101452426e-4,0,0.905290015601075,1
148,NA,0,0.001149224341203982,0,0.8939851445719211,1
190,NA,0,0.00189150990685695,0,0.8922218418944046,1
92,NA,0,2.1681078927207668e-4,0,0.8054404221619227,1
126,NA,0,5.267588624030953e-4,0,0.774803379357127,1
78,NA,0,4.5394847764388664e-5,0,0.7682099605215919,1
83,NA,0,4.1448723095741365e-5,0,0.7645316337526917,1
111,NA,0,6.174619341055114e-5,0,0.760990851367543,1
25,NA,0,0.0024628566311076707,0,0.7583559396452199,1
168,NA,0,0.0024782825992618715,0,0.7418731952395101,1
104,NA,0,5.4914456955543394e-5,0,0.7365575679609876,1
90,NA,0,9.439989326282067e-5,0,0.7024002580763025,1
172,NA,0,0.010135255656184892,0,0.6966198459290469,1
163,NA,0,3.8006507937325543e-4,0,0.9335513132453273,0.75
189,NA,0,4.1846171464393396e-5,0,0.9300259193195259,0.75
170,NA,0,1.735417366437188e-4,0,0.9268102498811326,0.75
134,NA,0,3.8273555892155665e-4,0,0.6760233308416241,1
94,NA,0,1.743797643105687e-4,0,0.6726924418766224,1
178,NA,0,5.4853267083604004e-5,0,0.9221189523545966,0.75
130,NA,0,3.589283601481125e-4,0,0.6700010954284896,1
93,NA,0,5.706430201911396e-5,0,0.6547402127253656,1
171,NA,0,6.295069276360704e-5,0,0.6499253978851742,1
138,NA,0,6.417623536056341e-4,0,0.6432830659447222,1
96,NA,0,8.433814830898428e-4,0,0.6340803152964822,1
123,NA,0,1.0676145494014744e-5,0,0.8827195153072018,0.75
255,NA,0,1.2586940163062855e-4,0,0.6291723564013438,1
84,NA,0,3.3311014449788656e-5,0,0.6283672441240228,1
191,NA,0,3.394371435978786e-4,0,0.869223556389303,0.75
139,NA,0,4.840252413131382e-5,0,0.612392643657976,1
97,NA,0,3.622419845543992e-5,0,0.6114675877830663,1
34,NA,0,1.5264438201239536e-4,0,0.6065672492252114,1
105,NA,0,3.327395114379233e-5,0,0.8479632113070742,0.75
99,NA,0,8.406300910253433e-5,0,0.5968050914790408,1
60,NA,0,0.0011338229164932518,0,0.5904965570006799,1
137,NA,0,4.0898427593686635e-5,0,0.5898288033759443,1
115,NA,0,2.1709680486742552e-5,0,0.8356135191480458,0.75
187,NA,0,3.040690652685901e-4,0,0.8331455697423206,0.75
35,NA,0,3.139152050696486e-5,0,0.5810942890440041,1
146,NA,0,2.5187839090135054e-4,0,0.5746516103278198,1
141,NA,0,8.67797750430437e-5,0,0.5742140596979546,1
160,NA,0,1.5828517601114599e-4,0,0.8187211695590787,0.75
152,NA,0,1.2248847639648741e-4,0,0.8157007826096898,0.75
122,NA,0,1.1875528164144058e-5,0,0.5599266901375314,1
166,NA,0,0.0015900571660008311,0,0.5575611228988664,1
208,NA,0,3.4140572321303286e-5,0,0.5559808365658853,1
33,NA,0,3.9051913002699216e-5,0,0.5534102997683967,1
101,NA,0,1.62046883456968e-5,0,0.7751974467295566,0.75
253,NA,0,3.5307444070439924e-5,0,0.5171335779931219,1
117,NA,0,2.3567520544551965e-5,0,0.5095534432234168,1
176,NA,0,2.4401261622044026e-4,0,0.7565546734979465,0.75
