metric,value
National population,40420730.167098865
Population in top 20 percent priority catchments,6973534.270829793
Population share in top 20 percent priority catchments,0.1725237085525491
Population in top 20 percent gap catchments,6973534.270829793
Population share in top 20 percent gap catchments,0.1725237085525491
Population in hidden burden catchments,2699286.105303958
Population share in hidden burden catchments,0.06677974628724266
