catchment_poly_id,region,n_scenarios_top50,robustness_class,score_base,score_corisk_emphasis,score_service_emphasis,score_no_burden,score_death_heavy,score_admission_heavy,corisk_score,service_deficit_std
174,NA,6,Highly robust priority,0.857380507022281,0.8431740093624421,0.8715870046821196,0.9526450078005375,0.7621160062440244,0.7621160065861775,0.905290015601075,1
148,NA,6,Highly robust priority,0.8522933150633855,0.8363910867491734,0.8681955433775971,0.9469925722859606,0.7575940578408102,0.757594060828953,0.8939851445719211,1
190,NA,6,Highly robust priority,0.8514998288613655,0.8353331051455261,0.8676665525772048,0.9461109209472023,0.7568887367755288,0.7568887432845689,0.8922218418944046,1
92,NA,6,Highly robust priority,0.8124481899757492,0.7832642533000376,0.8416321266514607,0.9027202110809613,0.7221761688705368,0.7221761691987586,0.8054404221619227,1
126,NA,6,Highly robust priority,0.7986615207318506,0.7648820276354196,0.8324410138282815,0.8874016896785635,0.7099213517851378,0.7099213538012541,0.774803379357127,1
78,NA,6,Highly robust priority,0.7956944822357304,0.7609259763139691,0.8304629881574916,0.8841049802607959,0.707283984210665,0.7072839842464506,0.7682099605215919,1
83,NA,6,Highly robust priority,0.7940392351898234,0.7587189802527271,0.8293594901269196,0.8822658168763459,0.705812653503301,0.7058126535367487,0.7645316337526917,1
111,NA,6,Highly robust priority,0.7924458831187764,0.7565945108239077,0.8282972554136449,0.8804954256837715,0.7043963405537812,0.7043963406352874,0.760990851367543,1
25,NA,6,Highly robust priority,0.791260172872178,0.7550135638189608,0.827506781925395,0.8791779698226099,0.703342375921746,0.7033423926546464,0.7583559396452199,1
168,NA,6,Highly robust priority,0.7838429378930254,0.7451239171789519,0.8225619586070988,0.8709365976197551,0.6967492781662956,0.6967492955032143,0.7418731952395101,1
104,NA,6,Highly robust priority,0.7814509055843504,0.7419345407784984,0.8209672703902021,0.8682787839804937,0.694623027188207,0.6946230272468292,0.7365575679609876,1
90,NA,6,Highly robust priority,0.7660801161377331,0.7214401548491783,0.8107200774262876,0.8512001290381512,0.6809601032373148,0.6809601033688396,0.7024002580763025,1
172,NA,6,Highly robust priority,0.7634789308041715,0.7179719076935285,0.8089859539148144,0.8483099229645235,0.6786479386438194,0.678648122860001,0.6966198459290469,1
163,NA,6,Highly robust priority,0.7575980909731004,0.7851307879598993,0.7300653939863012,0.8417756566226636,0.6734205253235371,0.67342052654765,0.9335513132453273,0.75
189,NA,6,Highly robust priority,0.7560116636955635,0.7830155515934923,0.7290077757976345,0.840012959659763,0.672010367731364,0.6720103677717967,0.9300259193195259,0.75
