catchment_poly_id,region,observed,expected,oe_ratio,corisk_score,service_deficit_std
22,NA,383,6.457943068677634e-4,593068.0960283307,0.38964358374032326,0.25
192,NA,724,0.0012454866750388918,581298.8725691442,0.3488464859547361,0.75
70,NA,149,2.7718349167641526e-4,537550.0506860741,0.3943546028442914,0.25
239,NA,387,7.467495457449758e-4,518246.0467571081,0.37746268205805505,0
252,NA,217,4.4596773142647854e-4,486582.2899470794,0.3068421886190995,0.75
75,NA,31,6.375552540386054e-5,486232.3665851694,0.39079560710926403,1
91,NA,1041,0.002314644580169086,449745.07486758695,0.7739129867814507,0
81,NA,206,5.315496015645233e-4,387546.14695162035,0.4426730586255531,0.25
236,NA,387,0.001174613593438121,329470.05054423225,0.18271785566635432,0.25
71,NA,2,6.12981236126728e-6,326274.26128693426,0.46728014104199445,0.75
129,NA,579,0.0018119440973807747,319546.28227049817,0.7048884198048531,0.75
86,NA,556,0.0018699555734564034,297333.26710660633,0.8081666786047541,0
82,NA,551,0.0018814304726532383,292862.270495155,0.6912720913864463,0
23,NA,724,0.002484477299069603,291409.38428824703,0.3895396481681267,0.25
246,NA,727,0.0025575891177659544,284252.06963463785,0.7269579920735096,0.5
155,NA,556,0.0020162565011254837,275758.5652865289,0.3812937375608144,0.75
177,NA,1818,0.006630528895147036,274186.27212839935,0.8322656477797696,0.75
158,NA,50,1.8345004886013923e-4,272553.75678923685,0.47136656193984267,0.75
154,NA,802,0.0029610934498088865,270845.8931114661,0.395702764566417,0.75
73,NA,14,5.3482502470544495e-5,261767.85590222717,0.4257944346244261,0.75
169,NA,711,0.0028350317091846624,250790.84572372533,0.3437722571991669,0.5
54,NA,2021,0.008089862145423857,249818.8428517545,0.5759962417359408,0.75
136,NA,1167,0.004752071981347059,245577.088179795,0.725504935166519,0.75
12,NA,711,0.0029159147295766768,243834.29075898277,0.4051272251556176,0.25
16,NA,2191,0.00912767057489624,240039.33775019116,0.43733707229977825,0.75
17,NA,273,0.0011420103439112746,239052.12545186016,0.40837933753220856,0
69,NA,9,3.9066921979265335e-5,230373.92105722395,0.4042108924658547,1
164,NA,2371,0.011064381843268908,214291.23050759622,0.8871008412494894,0.75
27,NA,1041,0.004874626608364642,213554.81837597376,0.7094329884906441,0
98,NA,54,2.62691598416236e-4,205564.24463349892,0.7294096161906987,0.75
87,NA,679,0.0034730890432649506,195503.19371071804,0.6446735567641388,0
95,NA,78,4.0159952120545335e-4,194223.33912618426,0.7615150963173326,0.75
102,NA,17,8.935209627838494e-5,190258.5468955858,0.8323962118396366,0
218,NA,34,1.8403679919056174e-4,184745.66037629542,0.0030050884419998126,0.75
145,NA,328,0.0017796188773430135,184309.12605833157,0.4252374245419397,0.75
184,NA,580,0.003189743942694264,181832.77730753977,0.5877947583587221,0.75
15,NA,601,0.0033134715599680894,181380.76308274938,0.3946875118884251,0.25
106,NA,39,2.1535233506072464e-4,181098.57034521058,0.2883952021153512,0.75
262,NA,101,5.586175349694206e-4,180803.49018318742,0.09392223626381152,0.75
88,NA,11,6.224408900602629e-5,176723.60822784333,0.5860504403912019,1
64,NA,149,8.447006103044789e-4,176393.85858415774,0.31849615156599,0
162,NA,4585,0.026091004517362033,175731.06458775673,0.8171083148679397,0.75
13,NA,9,5.1567865350934196e-5,174527.29405711105,0.4053671163023428,1
31,NA,148,8.685163599768061e-4,170405.54078215908,0.47356861751537593,0.75
103,NA,190,0.001183311418575045,160566.35389253646,0.8217237431650826,0.25
40,NA,2603,0.016365173984514775,159057.2762906791,0.32426629303287496,0.75
186,NA,1041,0.00687891008118952,151332.11333095192,0.80247187241654,0
167,NA,629,0.004182059652648173,150404.35867568347,0.7760004530918723,0
7,NA,100,6.990973047114699e-4,143041.604260328,0.34946428527987194,0.5
254,NA,661,0.00496522610822386,133125.8608555996,0.5884775795451633,0.75
