catchment_poly_id,region,observed,expected,oe_ratio,corisk_score,service_deficit_std
174,NA,0,2.8052489261221587e-6,0,0.905290015601075,1
148,NA,0,4.612571051387858e-6,0,0.8939851445719211,1
190,NA,0,5.148957094593251e-6,0,0.8922218418944046,1
92,NA,0,3.744168558851228e-6,0,0.8054404221619227,1
126,NA,0,1.0821499341963457e-5,0,0.774803379357127,1
78,NA,0,2.434785099756369e-6,0,0.7682099605215919,1
83,NA,0,2.5845218196443774e-6,0,0.7645316337526917,1
111,NA,0,4.731460629859553e-6,0,0.760990851367543,1
25,NA,0,9.334076516900059e-6,0,0.7583559396452199,1
168,NA,0,1.0035842303927493e-5,0,0.7418731952395101,1
104,NA,0,3.3527815919094077e-6,0,0.7365575679609876,1
90,NA,0,4.6366621974966425e-6,0,0.7024002580763025,1
172,NA,0,1.4953910969988182e-5,0,0.6966198459290469,1
163,NA,0,7.727780882106059e-6,0,0.9335513132453273,0.75
189,NA,0,3.380660171956853e-6,0,0.9300259193195259,0.75
170,NA,0,5.729338290140753e-6,0,0.9268102498811326,0.75
134,NA,0,1.0038509357033757e-5,0,0.6760233308416241,1
94,NA,0,7.041013004367199e-6,0,0.6726924418766224,1
178,NA,0,3.902853319661503e-6,0,0.9221189523545966,0.75
130,NA,0,9.218078803430202e-6,0,0.6700010954284896,1
93,NA,0,4.73887243034301e-6,0,0.6547402127253656,1
171,NA,0,4.821094263040777e-6,0,0.6499253978851742,1
138,NA,0,1.076279132451741e-5,0,0.6432830659447222,1
96,NA,0,1.2650460176531017e-5,0,0.6340803152964822,1
123,NA,0,1.899739458427097e-6,0,0.8827195153072018,0.75
255,NA,0,7.635771285892559e-6,0,0.6291723564013438,1
84,NA,0,3.3856714681252646e-6,0,0.6283672441240228,1
191,NA,0,8.429749262915699e-6,0,0.869223556389303,0.75
139,NA,0,4.406269163058629e-6,0,0.612392643657976,1
97,NA,0,4.751143749214053e-6,0,0.6114675877830663,1
34,NA,0,7.643360002453722e-6,0,0.6065672492252114,1
105,NA,0,3.5416850324608654e-6,0,0.8479632113070742,0.75
99,NA,0,6.634333458163107e-6,0,0.5968050914790408,1
60,NA,0,1.635568169728725e-5,0,0.5904965570006799,1
137,NA,0,4.44202046470719e-6,0,0.5898288033759443,1
88,NA,0,3.45609785259562e-6,0,0.5860504403912019,1
115,NA,0,3.2375009037727485e-6,0,0.8356135191480458,0.75
187,NA,0,9.799783229564393e-6,0,0.8331455697423206,0.75
35,NA,0,4.0128526294962226e-06,0,0.5810942890440041,1
146,NA,0,1.0101273909719122e-5,0,0.5746516103278198,1
141,NA,0,7.037770368955134e-6,0,0.5742140596979546,1
161,NA,0,9.335220954711971e-6,0,0.8190055117773846,0.75
160,NA,0,6.698336561787218e-6,0,0.8187211695590787,0.75
152,NA,0,7.570318799401597e-6,0,0.8157007826096898,0.75
122,NA,0,2.358761838017117e-6,0,0.5599266901375314,1
166,NA,0,2.0336685273464808e-5,0,0.5575611228988664,1
208,NA,0,3.928695038732536e-6,0,0.5559808365658853,1
33,NA,0,4.896116642365973e-6,0,0.5534102997683967,1
101,NA,0,2.830668748291137e-6,0,0.7751974467295566,0.75
253,NA,0,5.038164838602744e-6,0,0.5171335779931219,1
